"extension","instruction form","class","level0","level1","level2"
"avx512f","VCVTPD2UDQY Y, K, X","turbo1","564006","1164342647","0"
"avx512f","VCVTPD2UDQY mem, K, X","turbo1","638526","1234194469","0"
"avx512dq","VCVTPD2UQQ X, K, X","turbo0","1159931133","0","0"
"avx512dq","VCVTPD2UQQ Y, K, Y","turbo1","856395416","288206131","0"
"avx512dq","VCVTPD2UQQ Z, K, Z","turbo2","587006","34344","1204551132"
"avx512dq","VCVTPD2UQQ mem, K, X","turbo0","1153820511","0","0"
"avx512dq","VCVTPD2UQQ mem, K, Y","turbo1","610113","1154483681","0"
"avx512dq","VCVTPD2UQQ mem, K, Z","turbo1","573637","1188502563","0"
"avx512f","VCVTPH2PS X, K, X","turbo0","1215588650","0","0"
"avx512f","VCVTPH2PS X, K, Y","turbo0","1217267661","0","0"
"avx512f","VCVTPH2PS Y, K, Z","turbo2","565093","25074","1120548092"
"avx512f","VCVTPH2PS mem, K, X","turbo0","1311560103","0","0"
"avx512f","VCVTPH2PS mem, K, Y","turbo0","1311949274","0","0"
"avx512f","VCVTPH2PS mem, K, Z","turbo1","569001","1188380885","0"
"avx512f","VCVTPS2DQ X, K, X","turbo0","1215520894","0","0"
"avx512f","VCVTPS2DQ Y, K, Y","turbo0","1215871424","0","0"
"avx512f","VCVTPS2DQ Z, K, Z","turbo2","605688","51264","1115403677"
"avx512f","VCVTPS2DQ mem, K, X","turbo0","1311648333","0","0"
"avx512f","VCVTPS2DQ mem, K, Y","turbo0","1312204895","0","0"
"avx512f","VCVTPS2DQ mem, K, Z","turbo1","595594","1187848630","0"
"avx512f","VCVTPS2PD X, K, X","turbo0","1214686684","0","0"
"avx512f","VCVTPS2PD X, K, Y","turbo0","1216551210","0","0"
"avx512f","VCVTPS2PD Y, K, Z","turbo2","569540","25968","1115298511"
"avx512f","VCVTPS2PD mem, K, X","turbo0","1311061098","0","0"
"avx512f","VCVTPS2PD mem, K, Y","turbo0","1311992764","0","0"
"avx512f","VCVTPS2PD mem, K, Z","turbo1","602420","1188548968","0"
"avx512f","VCVTPS2PH imm, X, K, X","turbo0","1163981442","0","0"
"avx512f","VCVTPS2PH imm, X, K, mem","turbo0","1112400172","0","0"
"avx512f","VCVTPS2PH imm, Y, K, X","turbo1","569998","1264923529","0"
"avx512f","VCVTPS2PH imm, Y, K, mem","turbo1","563658","1099606553","0"
"avx512f","VCVTPS2PH imm, Z, K, Y","turbo2","578591","24300","1314903767"
